electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
43,85,86,70,51,74,88,70
52,74,75,71,38,78,95,71
49,93,94,77,50,71,88,75
59,84,95,71,55,75,97,81
69,94,97,75,63,88,83,74
61,83,85,69,49,91,93,75
65,86,83,80,60,83,89,90
64,87,81,69,45,81,95,76
57,78,64,58,48,76,103,74
45,86,90,64,42,78,86,71
49,84,83,57,44,73,87,74
45,92,83,58,47,84,102,76
67,96,73,59,44,63,87,89
52,87,76,65,46,89,89,80
71,91,81,68,43,88,89,91
55,98,97,78,39,84,83,71
47,86,74,60,56,83,85,77
59,83,84,62,39,74,89,71
56,93,86,71,52,74,82,65
81,86,88,67,60,76,78,69
70,70,59,47,27,48,57,64
63,55,29,29,18,41,43,44
63,64,48,38,23,27,44,37
63,65,40,39,18,50,56,52
59,62,47,41,27,47,54,46
65,57,37,40,19,48,46,37
80,67,55,39,29,55,68,61
66,65,45,33,31,46,55,48
75,71,40,38,22,48,60,60
64,50,27,38,16,40,43,39
76,69,47,40,30,39,52,56
63,71,52,40,26,56,66,52
61,63,28,32,23,48,48,46
73,54,35,42,30,50,69,54
70,70,51,42,32,70,59,58
69,55,42,39,18,56,53,49
60,55,33,37,33,64,63,45
65,65,30,36,13,55,59,42
65,68,55,40,20,54,70,54
72,79,46,55,23,65,69,63
79,63,54,32,17,56,68,65
77,67,49,31,25,68,68,48
71,72,54,44,20,74,70,45
85,66,50,50,26,77,70,43
68,74,52,56,34,54,76,47
65,72,46,55,31,45,68,41
74,86,52,53,22,58,82,44
70,82,54,45,31,54,56,38
71,84,45,47,28,39,22,41
60,79,54,44,31,41,67,34
68,71,34,51,23,40,66,27
77,84,56,57,24,42,68,44
90,87,59,50,29,31,79,39
81,82,51,37,18,50,64,35
85,76,45,41,19,48,71,42
78,84,56,45,26,52,72,48
82,79,51,53,22,43,96,41
80,82,52,53,26,43,34,49
77,83,54,58,24,56,83,39
76,88,55,42,20,51,90,57
69,100,56,59,32,42,80,40
63,69,59,59,57,78,88,63
47,57,56,42,46,65,75,41
39,47,62,45,45,79,91,48
62,72,47,44,34,71,70,60
58,72,70,51,37,87,85,55
65,78,66,46,49,89,83,74
70,74,62,53,62,88,80,64
55,68,54,50,45,97,85,56
60,77,65,55,43,80,76,50
75,84,55,62,52,76,92,76
53,74,74,57,48,84,90,64
66,75,82,46,69,90,80,55
63,76,70,56,50,88,81,72
67,76,78,65,64,80,82,61
72,77,69,63,49,85,95,69
67,91,78,54,49,87,90,73
81,76,76,50,56,97,90,72
83,91,70,72,57,85,77,77
68,92,65,53,41,84,87,66
62,78,74,71,71,77,82,68
39,52,46,83,53,59,65,64
64,78,63,83,44,60,77,38
42,74,38,82,56,49,88,31
56,77,50,77,52,45,61,35
51,79,45,85,59,64,79,49
57,81,44,70,41,60,86,40
61,80,56,88,49,51,65,45
65,76,56,85,56,63,81,75
63,78,50,77,55,53,84,38
38,77,49,88,60,61,72,42
55,86,49,80,52,42,58,33
46,79,46,83,54,50,89,31
60,83,36,82,55,44,75,42
48,82,38,81,49,40,79,28
54,81,46,83,51,42,73,28
58,86,54,87,56,56,77,48
60,71,57,69,60,53,77,40
53,73,53,81,55,51,65,51
39,69,47,68,50,42,65,24
75,90,56,85,54,45,91,55
70,66,75,83,67,39,58,61
72,70,82,78,59,38,41,58
60,63,85,87,58,37,60,48
67,45,75,90,46,45,45,63
55,59,72,67,42,44,63,67
66,72,86,95,60,47,79,72
56,51,79,75,45,37,63,63
68,47,82,86,50,48,58,61
41,59,76,89,86,40,49,49
50,43,62,89,66,30,56,67
61,55,85,85,68,51,52,61
45,63,75,82,58,34,56,61
47,61,57,83,63,38,63,61
39,55,66,80,72,41,45,57
47,57,73,97,78,34,51,62
55,60,51,79,64,51,60,59
57,87,57,65,44,57,71,48
61,63,70,72,49,51,68,54
74,73,76,77,49,60,74,47
68,69,66,76,40,68,73,37
59,73,70,72,42,67,64,68
62,69,62,69,56,60,57,43
57,69,70,73,33,61,68,47
60,68,66,73,53,63,67,70
73,68,77,67,55,54,76,63
63,69,62,65,57,64,73,60
55,81,88,85,70,62,68,75
61,60,74,78,70,57,76,81
58,83,91,82,64,57,62,67
54,73,90,95,66,70,71,69
47,72,89,75,73,70,72,69
54,73,86,92,61,68,73,63
43,82,91,85,54,70,71,56
58,82,89,94,58,71,71,62
40,82,89,77,68,58,74,63
56,80,91,87,66,59,61,65
64,75,89,90,76,68,83,71
63,70,73,89,67,65,75,76
69,79,93,95,69,69,66,80
65,82,92,96,65,60,70,71
62,78,89,82,59,63,68,71
63,69,79,86,59,61,81,78
60,71,85,88,62,74,76,82
66,88,102,85,64,65,81,71
59,66,91,93,55,67,82,95
53,69,101,99,67,61,60,68
60,68,77,54,58,63,73,52
67,71,87,53,60,71,82,74
64,71,82,69,66,70,75,74
55,72,81,66,68,69,66,68
66,74,79,63,64,75,74,76
67,72,87,53,55,69,68,66
73,72,86,88,64,63,75,72
69,75,85,66,68,68,77,71
62,68,90,64,56,66,77,71
67,73,97,68,71,70,79,67
61,64,81,72,72,82,69,72
68,46,87,64,50,58,67,66
69,48,91,73,68,64,68,73
57,60,92,73,53,64,77,72
72,56,96,76,56,60,75,81
61,57,82,61,56,60,78,71
65,50,90,69,46,57,56,57
62,65,84,54,41,54,61,54
62,53,97,63,40,46,63,62
61,52,84,64,40,54,60,65
43,71,77,62,32,62,79,61
37,60,69,70,43,62,68,59
32,55,64,72,34,51,76,55
47,62,79,83,35,60,73,59
33,63,79,64,41,62,92,71
42,68,69,62,31,54,73,54
45,72,83,65,35,66,94,69
31,65,64,65,32,57,81,60
40,76,80,61,25,61,88,64
47,55,78,66,25,57,79,60
