electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
24,19,25,46,40,22,12,24
23,19,24,32,21,17,8,13
20,20,25,40,32,24,10,7
5,19,25,35,38,26,11,9
20,21,15,35,21,19,6,8
14,26,20,35,38,28,9,15
30,30,18,36,34,19,16,8
32,18,19,33,33,25,8,18
32,23,19,33,32,15,22,13
13,16,20,34,24,20,4,14
17,23,17,39,25,19,6,7
20,18,34,31,25,18,5,10
22,12,12,36,27,14,10,9
25,14,23,40,34,22,6,15
22,19,26,28,25,15,11,10
10,9,26,31,13,68,12,9
8,6,13,30,26,60,16,9
10,17,18,23,23,58,19,12
8,17,22,23,13,56,12,5
19,16,26,25,23,40,10,6
4,12,13,24,20,47,16,17
26,14,57,28,23,47,15,8
17,8,50,25,25,62,14,2
21,20,49,32,21,41,12,14
13,13,7,24,17,84,17,6
10,14,18,35,18,53,10,12
14,14,22,27,19,58,12,7
9,9,22,17,23,45,4,14
14,13,42,29,14,19,9,14
9,14,11,30,19,24,5,1
8,14,15,32,20,17,8,10
7,12,11,25,19,18,5,16
10,11,7,22,9,15,7,8
13,9,19,30,16,7,4,10
18,16,23,27,19,6,9,17
32,25,29,41,13,5,6,8
34,20,40,28,14,15,16,17
33,19,25,26,11,9,5,19
39,16,34,32,6,10,8,13
32,24,20,27,11,5,12,16
25,24,27,33,18,9,4,17
29,13,41,28,8,12,10,11
40,29,33,37,12,13,6,16
35,14,28,25,14,7,2,17
22,14,33,22,7,11,3,14
30,16,34,33,12,8,9,17
34,24,29,20,5,8,15,15
25,18,23,33,16,7,10,16
33,24,57,42,14,18,15,15
39,16,45,35,11,12,5,28
30,17,48,37,17,14,6,21
32,26,50,48,13,10,7,20
30,25,51,38,16,6,4,18
31,21,39,43,18,17,3,12
31,25,44,34,10,6,4,14
22,17,32,34,15,9,10,6
30,16,40,48,13,13,6,14
36,21,45,43,11,5,9,27
13,13,28,77,40,15,3,17
16,11,30,74,40,14,15,8
19,20,30,81,36,27,22,10
12,12,29,80,36,18,5,13
17,17,25,67,41,23,15,11
14,12,21,74,39,11,5,13
13,14,22,86,41,18,11,15
6,14,30,82,45,18,9,18
12,15,29,73,34,24,7,14
15,21,35,70,30,16,13,11
17,21,31,77,32,16,10,20
11,15,34,71,38,21,11,8
17,21,29,73,38,19,4,13
19,18,29,66,36,17,9,14
11,15,33,82,38,25,7,22
15,9,31,91,32,15,8,15
14,22,18,84,47,35,9,10
22,19,26,85,40,15,13,14
15,16,25,80,31,18,13,16
9,19,30,78,42,18,3,13
20,12,37,90,36,21,9,11
12,11,30,74,39,18,6,14
8,14,27,76,43,19,9,14
16,13,27,75,41,16,6,11
18,13,28,73,40,8,4,11
8,13,35,51,31,10,6,8
8,20,57,29,9,8,8,5
16,18,47,30,9,9,4,13
9,14,68,24,11,11,14,6
13,21,58,28,20,4,10,12
13,23,59,36,4,7,9,5
11,18,66,37,8,12,5,6
18,23,48,33,4,8,4,8
6,27,51,35,12,12,15,13
7,20,55,28,7,0,5,7
5,26,53,34,11,6,7,7
10,26,45,34,5,8,8,11
6,19,56,22,9,10,3,9
8,30,50,31,3,12,11,5
6,29,49,30,6,12,10,13
11,14,47,24,9,11,5,7
7,14,45,29,17,15,6,7
17,16,58,30,8,7,10,6
10,21,61,27,13,6,10,5
13,23,51,31,5,14,8,5
11,24,55,38,3,6,8,6
14,23,55,35,6,3,3,11
8,16,53,20,4,7,10,12
13,26,49,14,2,4,9,10
15,25,42,33,8,12,13,8
10,10,50,30,14,12,7,12
11,16,49,29,11,11,7,8
10,28,57,26,8,9,8,12
6,15,60,40,6,11,15,9
14,17,57,31,11,14,7,8
11,17,51,34,8,2,3,10
8,19,60,20,6,19,3,11
14,19,41,25,4,5,4,8
7,17,57,36,9,10,6,4
20,49,51,69,50,27,16,28
11,23,36,81,43,28,27,25
24,39,35,70,49,28,23,39
17,22,47,69,50,25,23,50
23,30,40,83,39,25,24,45
24,26,37,79,62,26,32,45
20,18,49,73,40,31,30,37
19,27,42,73,55,38,25,40
13,12,42,83,52,14,16,38
14,24,41,68,51,33,7,14
19,28,56,73,56,26,19,22
13,21,39,77,52,17,10,8
21,30,41,88,45,22,11,19
17,25,45,86,36,22,12,17
19,18,36,83,43,20,14,29
21,18,29,81,50,19,9,9
21,16,47,83,57,20,9,23
10,14,36,95,56,23,12,22
9,18,47,96,45,25,14,24
11,11,39,79,48,23,15,8
10,26,33,71,47,21,9,17
15,18,44,83,45,30,19,15
20,13,39,83,47,23,14,13
8,17,41,82,46,20,9,13
18,20,48,76,54,25,6,10
11,15,35,77,42,20,16,19
10,7,36,78,54,29,10,16
9,17,43,76,43,45,18,15
10,28,30,80,44,30,13,18
11,8,38,94,46,18,14,11
21,21,44,86,57,24,11,25
31,37,32,42,41,31,11,28
39,44,14,36,33,25,16,30
42,51,15,26,24,27,19,38
38,46,16,34,35,24,13,28
39,42,21,29,29,26,17,23
34,43,22,32,27,31,15,33
34,58,18,41,36,30,9,29
35,38,14,21,36,22,15,22
39,46,20,28,33,27,14,31
46,35,16,31,31,25,6,29
40,38,20,35,35,22,14,27
27,48,11,23,31,24,13,19
25,47,27,48,51,10,14,11
18,43,22,46,74,21,17,18
12,37,23,47,57,22,9,6
22,46,17,41,69,21,15,13
19,57,29,51,61,19,14,17
25,53,25,49,61,17,9,17
20,58,25,40,59,24,14,13
27,48,36,41,59,16,19,10
11,37,23,33,44,21,8,6
7,9,4,6,9,12,18,3
14,6,10,16,12,14,15,8
6,4,12,25,11,5,13,4
6,13,6,12,7,6,16,17
21,9,12,13,7,44,59,32
31,14,9,15,3,15,17,9
21,10,5,16,5,7,8,9
11,15,7,13,9,8,12,9
9,15,7,15,7,7,4,5
10,10,13,17,25,18,12,11
5,12,7,25,41,40,38,19
10,10,7,31,47,33,60,12
21,5,14,37,50,19,53,26
8,11,10,35,53,43,50,15
5,14,16,21,57,33,58,11
6,9,11,26,42,28,58,27
11,2,18,36,49,33,39,19
8,11,11,29,52,34,34,15
3,7,17,33,51,37,32,11
