electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
32,53,58,40,22,32,66,35
27,53,56,31,22,36,70,41
30,37,63,34,25,38,72,42
39,51,67,44,29,50,71,45
37,32,78,47,28,36,65,53
26,63,63,54,27,32,70,36
51,69,79,68,31,46,61,57
50,72,65,62,31,47,84,39
37,55,68,60,35,37,59,48
40,58,74,62,31,34,60,39
35,66,66,44,32,25,55,44
36,70,73,56,17,33,50,37
36,59,72,56,40,42,60,46
38,79,80,48,19,38,72,43
35,62,77,44,23,38,56,35
36,64,65,53,30,42,64,41
41,56,74,45,20,31,54,35
39,59,65,61,21,44,74,29
28,75,66,53,31,41,60,30
46,70,78,47,26,29,63,45
57,85,74,43,23,34,50,41
17,48,77,60,25,36,69,46
27,71,73,51,24,40,63,42
37,71,72,53,33,44,64,40
61,69,48,48,39,46,53,39
65,68,51,46,32,38,35,48
55,58,43,45,26,29,38,44
44,48,38,39,38,32,32,34
56,64,33,31,26,27,49,30
51,63,34,34,34,22,44,35
57,92,46,32,45,38,63,48
54,61,47,36,26,41,43,42
49,25,38,34,27,43,39,43
63,50,34,47,20,37,34,42
38,39,23,19,18,47,45,42
42,35,28,26,22,33,39,29
55,51,29,26,28,34,34,26
47,30,53,37,27,41,58,33
54,48,45,28,23,41,44,36
51,38,41,30,24,31,43,38
43,42,54,39,25,39,39,24
43,47,38,40,29,38,53,35
53,72,40,28,24,47,47,48
42,51,30,25,33,38,39,32
43,66,30,28,28,27,36,40
46,76,54,45,31,41,32,34
65,70,26,27,24,36,50,22
50,66,51,34,30,37,40,33
44,61,35,29,17,27,36,38
42,66,31,32,29,27,43,35
49,69,25,25,31,29,39,32
43,82,27,37,30,36,45,35
40,57,19,23,23,31,33,23
46,55,28,25,21,37,46,35
50,72,37,43,26,30,48,26
58,80,30,18,14,37,42,36
43,58,28,25,21,26,36,34
59,58,39,19,29,41,36,35
40,72,21,23,29,29,41,38
50,80,32,25,28,45,48,41
41,78,52,26,24,38,39,41
51,62,31,34,29,23,41,34
33,45,28,34,22,25,44,37
49,40,24,21,27,40,34,37
43,50,26,32,29,48,44,30
44,44,26,22,26,31,31,27
46,70,24,37,23,29,45,38
41,57,42,29,16,30,32,34
48,55,38,26,32,28,25,33
35,48,22,23,21,34,45,25
48,53,21,36,21,26,35,33
54,67,21,22,32,39,45,33
43,66,35,34,32,35,41,31
44,57,28,27,18,33,41,32
31,49,23,24,28,42,48,36
48,45,38,30,29,29,44,40
45,49,35,30,22,25,45,25
47,43,22,27,26,35,26,34
42,40,36,28,31,36,45,48
48,36,30,28,25,35,33,34
45,33,23,20,30,48,49,43
37,48,21,21,28,55,50,40
53,34,36,31,19,44,31,34
40,35,31,29,19,39,43,31
43,29,30,26,28,36,45,35
36,55,21,26,24,36,38,38
43,63,49,43,25,50,61,45
31,26,31,35,23,48,53,21
36,21,27,20,25,38,40,27
31,28,41,31,28,45,47,21
38,35,35,26,28,32,48,26
41,25,23,25,18,39,52,33
28,21,29,31,34,26,35,20
33,26,24,40,29,36,44,31
27,24,18,34,30,29,31,12
22,14,18,29,20,31,37,21
41,24,26,33,24,31,45,29
36,16,19,33,29,29,48,17
22,23,22,26,15,26,50,17
35,18,25,23,20,35,41,24
36,28,32,32,19,31,42,18
32,31,29,34,32,24,46,25
33,33,15,19,23,33,40,21
24,25,37,24,19,30,34,26
26,25,29,26,15,34,44,29
25,20,21,25,26,33,41,27
34,30,19,27,19,37,36,12
22,22,28,17,18,30,45,34
34,17,14,31,18,34,39,18
21,30,41,29,30,30,47,28
28,18,21,32,33,38,48,30
32,26,23,20,25,29,59,19
33,29,22,29,24,38,31,21
41,25,23,41,17,37,38,20
27,18,20,13,25,35,46,34
27,13,28,19,9,35,59,21
46,35,37,41,23,30,62,25
38,28,29,28,18,33,37,28
32,19,28,32,18,30,42,24
28,25,22,30,26,32,44,20
34,25,31,38,19,45,47,28
35,28,36,33,18,41,50,23
36,23,24,28,16,37,48,26
25,15,36,15,18,36,55,25
27,24,27,24,34,36,48,29
33,39,30,12,18,37,52,44
37,36,11,27,16,44,45,32
26,22,21,19,19,25,30,17
35,36,65,47,20,47,18,42
56,66,77,68,41,63,49,65
36,60,84,56,25,55,40,62
35,51,65,51,45,68,68,57
33,56,78,51,21,56,60,48
47,58,73,67,30,60,57,50
50,64,74,61,25,73,55,65
39,53,78,44,25,54,55,50
41,46,78,62,37,63,68,54
31,57,73,59,21,57,54,54
33,51,77,61,26,64,54,54
37,73,74,42,30,56,58,52
48,56,73,46,23,57,56,51
50,63,67,60,36,55,52,51
22,54,71,41,24,51,58,48
42,71,75,54,24,50,60,52
30,52,60,49,22,45,50,44
36,64,66,54,36,56,63,42
40,64,68,46,26,62,56,48
37,55,78,63,30,51,44,59
37,43,80,50,21,60,48,59
37,65,78,50,25,47,48,46
39,70,83,59,38,54,58,46
42,59,75,52,30,63,67,46
32,47,78,47,27,52,51,48
41,58,83,63,27,54,53,44
29,62,82,48,24,58,48,41
