electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
61,74,61,41,28,49,39,41
73,63,60,28,23,44,31,32
80,76,61,27,31,53,57,58
72,70,58,37,34,44,44,37
64,62,54,37,27,39,36,28
66,69,65,41,27,37,30,37
64,67,49,34,30,31,34,28
75,57,59,41,28,61,50,41
66,67,79,47,37,41,33,32
69,64,66,39,26,38,39,37
71,72,62,46,29,40,37,26
67,67,71,52,31,35,39,28
70,61,73,60,35,51,41,38
62,72,77,45,25,37,38,31
73,68,82,43,29,43,32,38
74,67,76,52,24,38,37,34
78,68,65,35,22,28,30,36
68,58,81,48,30,40,38,42
75,61,81,35,26,34,34,33
77,59,60,33,25,35,43,33
62,75,71,44,25,51,36,38
79,63,63,40,30,34,25,32
57,64,74,39,33,51,40,27
72,63,61,45,28,32,34,30
79,57,75,52,23,34,34,32
67,67,69,47,32,30,27,36
60,57,53,40,26,38,40,37
67,54,61,36,29,38,39,41
75,67,72,34,23,38,33,40
79,64,71,53,27,40,27,29
64,64,72,37,27,37,32,35
76,61,65,35,29,40,29,28
80,77,78,33,36,43,34,46
74,57,66,59,24,37,42,36
76,64,66,43,33,36,36,43
67,60,74,56,21,44,31,35
72,65,68,38,32,32,34,35
66,57,67,54,31,45,52,50
74,84,82,30,25,55,39,34
65,64,70,29,24,39,33,36
55,58,67,38,30,45,43,43
70,57,72,40,32,39,27,28
54,69,77,47,29,46,40,45
59,70,64,42,31,47,28,45
70,52,87,49,32,43,30,38
59,58,64,41,38,48,36,34
73,71,66,44,25,42,32,37
65,65,59,30,29,37,21,37
71,65,66,45,25,40,33,37
70,70,62,36,29,45,29,42
66,61,64,43,30,53,40,36
53,61,61,31,31,49,35,40
59,68,73,53,27,43,35,30
68,66,67,30,27,46,42,28
73,62,48,24,30,33,41,50
66,58,68,40,44,46,44,34
67,72,64,41,45,58,44,46
74,67,57,38,30,35,46,31
61,54,71,42,40,42,29,32
63,68,62,40,27,51,42,36
80,64,62,29,31,48,46,38
62,66,61,33,28,51,29,32
79,74,81,44,35,45,35,43
75,68,79,44,26,50,46,46
79,58,75,59,36,37,36,34
68,74,89,64,27,40,36,35
64,63,76,51,29,33,34,39
77,68,77,39,29,36,44,41
66,57,74,61,39,43,35,44
64,58,68,59,23,33,37,42
67,74,73,52,26,40,27,30
76,65,69,55,38,53,41,37
52,63,76,49,29,50,48,43
55,53,76,57,35,56,35,43
54,57,77,47,31,44,38,36
47,58,75,45,35,52,40,35
51,57,76,54,44,50,38,42
57,57,75,51,35,30,29,35
57,57,71,52,26,46,37,46
48,63,72,41,35,42,22,37
49,74,61,36,34,44,45,54
65,78,60,35,40,60,63,50
70,68,57,33,34,51,56,51
61,74,54,24,48,68,48,61
75,76,65,30,38,61,51,47
79,65,69,44,37,64,42,50
57,60,54,31,30,50,56,40
81,73,75,25,44,56,51,63
83,75,57,38,34,48,44,42
82,76,76,44,35,48,58,56
87,74,70,39,46,48,43,58
63,67,69,41,39,51,46,52
77,76,73,44,34,56,55,51
74,69,66,34,29,51,47,42
69,75,77,52,44,52,35,43
76,71,64,41,36,66,50,51
65,72,67,30,33,46,55,51
73,64,71,36,44,54,54,50
85,84,64,42,38,44,54,50
68,73,59,43,31,53,48,54
60,79,67,42,33,59,46,47
68,78,78,41,44,59,53,57
73,93,75,38,26,53,41,45
74,73,67,44,50,59,53,56
75,81,64,41,39,57,53,56
74,81,71,42,26,46,32,52
81,85,53,32,25,50,49,62
64,79,63,38,36,52,56,55
78,87,70,42,33,46,50,48
78,76,73,45,42,69,53,49
75,83,78,36,32,51,46,61
52,68,78,40,45,54,49,58
78,84,67,50,35,62,54,60
80,86,82,38,39,54,50,58
69,73,77,44,38,50,43,50
84,78,76,49,39,53,55,47
75,74,73,39,35,51,49,52
74,86,66,38,57,58,48,57
74,88,75,33,38,52,38,47
76,74,69,45,44,61,49,51
61,76,56,27,44,52,50,44
77,85,70,37,31,53,53,58
73,78,69,34,37,45,46,38
74,82,67,59,48,60,56,53
66,86,78,44,45,54,53,48
70,83,65,36,35,51,42,51
86,86,67,33,43,52,52,55
77,85,57,49,32,45,46,51
75,83,82,48,43,60,54,57
71,75,69,54,44,50,51,56
62,85,64,43,30,56,51,52
80,64,65,32,33,47,43,54
71,75,59,33,44,47,42,46
87,76,61,37,35,54,46,49
71,71,56,27,33,42,44,48
67,79,59,42,21,48,39,44
75,76,61,29,33,50,51,48
66,87,70,39,34,45,45,49
74,71,56,25,37,52,56,45
77,80,70,23,21,43,38,54
66,65,63,20,25,49,58,38
63,54,62,33,29,55,54,38
77,62,68,36,28,62,66,51
72,62,74,51,40,57,49,69
78,72,72,37,34,50,58,49
73,70,64,40,35,47,47,53
70,72,67,50,49,54,48,55
69,87,70,43,28,58,65,51
69,69,70,38,33,53,51,49
69,75,57,45,42,64,47,56
52,92,73,44,35,54,49,51
85,72,66,34,36,61,47,53
73,74,72,53,30,58,65,54
78,75,67,40,45,65,54,63
78,71,74,50,35,69,55,55
76,72,65,47,30,53,45,60
74,84,69,48,34,49,47,49
62,83,80,45,49,57,55,51
73,71,64,45,47,58,41,60
65,72,77,53,39,63,48,48
80,75,80,46,43,49,48,50
40,78,84,61,29,40,29,31
53,83,89,57,36,33,41,22
57,70,84,62,45,41,29,36
61,87,89,68,35,36,24,34
68,83,92,69,42,36,32,43
61,82,81,72,55,52,37,47
68,87,96,71,55,59,32,60
65,79,93,73,42,37,44,56
71,93,84,83,48,56,35,47
62,90,95,64,59,54,55,61
60,97,94,84,60,56,38,54
67,98,93,72,47,49,45,58
64,85,86,62,60,45,42,51
78,83,85,61,62,57,43,42
60,84,96,68,54,62,34,58
55,82,81,72,59,50,46,56
60,96,83,77,49,56,37,47
56,90,98,71,47,52,49,54
68,90,89,57,59,50,33,49
71,80,83,62,46,50,45,47
61,84,93,77,48,61,37,49
71,93,92,54,49,52,32,48
72,98,94,83,52,50,46,63
69,86,94,67,51,67,59,55
58,94,97,67,63,60,40,60
77,94,96,78,57,64,45,56
65,74,86,75,52,45,30,55
64,78,86,79,53,52,44,48
57,84,79,82,50,51,41,57
59,81,92,83,63,57,49,42
66,94,91,79,58,70,52,48
61,94,93,78,60,55,46,46
64,85,95,62,51,59,51,70
62,93,88,65,55,55,52,61
57,86,92,61,44,45,50,50
60,93,86,78,54,63,56,59
60,87,86,69,40,47,46,60
63,87,93,75,59,55,41,58
71,89,96,70,60,64,59,65
67,78,88,76,56,71,49,58
59,96,93,70,50,51,55,51
59,87,93,82,57,60,53,60
68,85,93,84,54,50,51,60
67,90,106,82,59,55,49,54
76,93,85,75,59,56,37,49
62,90,94,86,71,56,49,53
67,95,92,80,57,59,47,58
61,88,93,71,56,54,45,57
61,81,95,84,47,52,53,59
57,94,90,70,53,69,51,58
63,92,94,61,60,50,41,55
52,86,84,77,42,50,43,48
66,76,91,82,58,43,39,39
81,89,83,75,40,67,42,56
70,98,92,79,50,55,39,39
77,78,89,80,53,50,48,54
71,95,95,65,56,49,46,50
65,88,87,83,54,51,49,63
69,87,91,78,58,68,48,46
49,88,83,78,58,45,35,29
58,88,81,74,56,53,52,56
67,83,91,64,59,60,45,56
26,32,28,41,40,23,13,8
47,40,61,52,42,43,30,40
31,46,31,42,43,52,40,28
41,31,36,46,25,37,44,24
43,46,50,34,44,40,46,25
43,40,28,53,36,40,28,32
25,47,46,26,29,35,34,21
33,39,42,40,42,43,32,21
32,45,35,41,33,41,35,31
34,44,43,44,33,48,30,27
20,44,29,48,31,35,29,21
30,40,39,40,44,47,26,33
27,36,45,37,33,44,33,32
31,46,47,48,31,42,31,32
29,53,41,57,35,45,40,25
39,51,43,51,40,35,29,25
28,42,44,33,39,37,34,19
33,55,43,56,32,43,26,22
35,44,36,37,31,35,33,30
30,50,40,34,30,23,38,22
26,51,42,60,47,37,32,31
35,57,65,46,33,54,48,45
53,75,68,71,51,63,66,42
23,32,56,35,29,17,21,8
54,64,70,72,52,60,63,43
56,62,78,61,38,62,65,45
24,53,67,53,28,15,12,16
40,66,84,73,34,71,48,40
45,63,89,61,46,63,44,43
31,59,82,57,34,58,56,35
44,62,84,74,55,64,52,45
51,59,81,70,45,55,40,41
55,70,83,62,52,62,51,61
44,55,90,67,48,62,62,54
62,60,83,65,51,80,56,58
49,60,79,71,53,55,66,64
41,73,84,66,54,68,46,53
43,59,91,64,47,70,55,44
49,67,83,71,44,57,58,43
39,56,78,64,51,61,53,29
51,66,92,60,46,60,56,49
32,63,76,57,34,47,50,36
34,67,83,64,49,71,61,53
68,45,39,42,35,35,33,30
58,67,55,48,26,37,32,38
61,62,54,52,33,35,41,29
71,68,48,50,39,40,29,34
69,73,44,48,25,37,35,33
76,76,49,27,20,62,40,37
60,53,42,39,20,19,23,31
73,53,58,42,30,30,28,36
61,57,40,52,36,40,32,40
53,60,52,52,20,39,30,23
64,62,46,39,25,29,25,34
72,79,59,39,22,22,10,45
74,72,49,47,31,36,28,32
62,82,53,41,37,39,25,30
59,61,60,45,33,32,39,42
69,74,57,40,44,36,36,31
71,79,51,42,42,30,38,42
71,79,55,39,27,36,19,29
68,61,63,51,42,47,38,50
63,72,73,76,55,66,63,48
67,74,75,68,50,56,55,60
80,76,99,85,68,55,54,56
78,62,80,72,63,40,41,54
67,65,77,62,46,44,33,33
66,67,96,69,52,60,57,45
62,56,82,78,51,55,42,41
80,80,93,76,60,67,46,54
64,57,67,59,47,53,40,50
82,64,88,69,55,64,38,55
82,72,68,62,51,68,54,46
92,76,62,70,49,63,42,50
72,68,76,70,41,43,31,32
87,67,83,61,54,53,50,56
74,72,77,70,47,65,56,46
86,81,93,71,55,74,51,55
95,69,83,68,61,57,36,69
77,66,82,61,53,57,48,56
87,69,78,65,33,64,32,41
75,80,82,88,48,61,58,63
77,66,83,58,51,49,39,60
83,61,81,74,65,52,34,47
93,81,77,67,48,53,37,66
83,73,81,71,45,52,44,50
34,42,43,48,46,56,32,44
31,28,48,48,46,45,27,40
39,35,63,54,52,56,44,48
31,38,67,55,50,58,41,35
38,43,69,57,53,68,54,49
47,39,58,47,38,61,42,37
47,46,70,57,60,56,40,45
26,24,52,38,43,55,35,36
29,36,77,59,43,45,50,31
54,55,76,51,38,52,38,46
41,45,73,53,47,53,58,29
30,27,45,45,50,50,36,45
37,30,64,44,46,65,55,45
30,35,62,55,47,45,41,38
25,40,63,45,46,52,35,34
40,39,67,53,51,50,27,39
36,48,59,51,47,51,46,38
27,43,61,58,41,49,35,23
31,30,64,50,42,50,36,28
33,47,70,64,51,59,51,38
45,58,67,86,57,56,42,34
35,43,60,93,70,60,40,34
57,55,65,82,62,51,41,38
64,44,54,75,58,47,39,35
19,39,73,86,67,64,55,19
25,38,61,77,65,49,52,28
32,65,62,98,57,35,36,29
24,38,60,73,53,41,36,26
26,28,59,76,60,60,35,27
30,32,54,85,60,29,28,18
45,45,64,72,55,83,58,49
54,43,51,86,58,40,27,28
48,61,60,86,65,38,29,38
49,48,55,90,60,41,29,36
38,43,60,92,64,44,20,28
60,45,51,80,60,32,20,28
48,43,51,89,67,42,30,26
60,59,56,87,68,57,35,26
28,30,71,59,18,17,7,21
45,44,65,62,23,18,26,35
38,34,69,68,29,15,19,36
43,34,67,69,28,18,11,40
37,30,70,62,26,19,23,29
19,32,71,71,36,24,19,43
47,54,83,78,38,18,14,44
33,49,70,61,36,18,12,47
37,61,67,73,61,34,21,18
27,43,63,85,44,22,12,17
40,74,65,84,47,19,21,22
27,55,52,88,58,24,25,14
29,48,61,83,44,26,18,21
36,56,68,92,60,22,24,30
40,53,65,90,60,19,30,29
50,68,40,73,49,32,50,37
