electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
75,76,83,72,60,47,53,65
85,85,86,69,66,52,51,63
89,89,100,79,45,46,49,65
72,85,73,66,51,42,43,70
79,78,82,82,51,47,45,59
73,76,82,76,65,52,49,61
83,89,84,75,68,52,46,55
82,88,81,76,66,59,49,64
83,77,92,97,57,57,52,69
75,73,78,78,58,46,48,62
82,77,103,77,56,47,43,72
77,86,77,70,52,50,48,62
76,93,88,76,59,51,52,66
84,82,91,68,54,48,62,60
83,78,94,55,54,59,52,79
89,98,92,63,59,40,44,72
81,84,87,72,54,45,42,61
79,79,92,67,47,47,48,52
85,83,92,75,53,52,40,56
83,96,91,79,47,47,44,63
83,82,89,70,57,47,52,61
78,89,84,80,62,44,57,51
88,84,79,66,55,50,52,69
83,84,82,68,55,47,48,65
82,87,80,67,59,54,44,71
76,82,76,78,50,48,49,56
84,79,82,59,64,52,51,63
80,85,87,60,67,52,44,66
82,77,79,71,50,62,52,74
86,82,68,55,49,50,50,48
77,83,74,72,50,49,55,58
81,86,76,57,49,47,47,72
73,87,77,54,47,50,64,66
74,72,79,63,56,54,59,52
90,87,77,64,39,46,55,67
82,84,95,73,53,53,53,59
71,97,89,68,51,38,50,62
80,88,93,77,38,48,48,59
72,81,92,69,55,49,54,63
96,83,88,75,59,40,48,64
85,80,77,77,49,53,59,62
81,75,80,83,74,61,60,75
88,84,87,60,51,58,58,61
12,20,20,51,29,49,14,10
28,57,52,41,46,58,33,31
29,54,65,39,40,48,23,17
16,67,85,45,42,60,15,20
16,51,80,42,46,47,20,29
29,43,84,52,36,63,26,16
24,54,80,45,37,60,14,13
31,35,80,31,41,49,26,16
28,67,75,35,37,62,22,25
36,51,82,42,43,58,29,17
35,61,80,51,50,58,37,27
20,74,80,45,38,68,34,30
18,65,86,57,42,51,27,14
25,46,33,36,38,55,29,22
20,65,83,39,44,69,30,16
18,67,84,59,37,48,24,21
29,52,74,52,37,59,17,19
24,68,88,47,36,51,26,31
35,49,77,55,37,57,26,30
17,46,71,57,34,53,28,17
32,60,72,42,44,53,28,22
16,10,37,27,20,37,18,12
58,66,65,54,49,56,44,44
30,26,21,22,17,59,15,8
59,65,55,50,47,73,51,45
14,24,21,34,26,65,26,12
35,54,58,54,43,74,40,37
47,62,60,53,41,72,45,39
16,14,18,30,21,53,9,8
49,62,64,56,51,82,54,49
75,71,75,67,52,74,48,54
62,64,68,50,48,71,39,45
22,19,18,25,22,47,6,11
60,75,63,53,52,64,53,44
71,86,69,61,61,78,70,61
51,71,72,48,46,59,44,34
60,65,67,48,44,87,54,47
74,82,69,62,70,78,54,51
15,10,21,22,33,67,18,15
52,62,45,61,58,62,38,43
65,55,73,51,56,71,50,42
51,73,72,54,61,64,39,34
45,71,66,60,46,64,51,51
44,49,55,51,51,69,39,38
61,69,70,62,44,77,53,43
11,20,25,25,32,63,21,2
48,73,58,55,44,72,46,37
55,69,75,75,62,71,53,47
8,14,35,45,32,72,20,16
58,75,52,46,46,66,43,35
72,75,60,51,50,67,33,44
56,94,74,69,36,41,30,37
61,76,64,47,40,70,48,34
68,74,66,51,47,47,39,38
65,80,64,61,37,40,43,49
74,84,68,44,38,40,30,50
60,71,64,46,41,48,47,41
59,69,55,58,31,47,29,32
50,67,58,40,33,59,43,32
60,72,81,52,29,23,20,29
59,62,48,30,25,74,35,33
64,64,53,50,36,64,30,36
56,74,63,53,45,18,25,35
61,79,68,46,35,28,26,39
58,72,66,46,33,28,27,29
60,65,59,59,40,33,20,42
55,58,42,45,26,73,36,35
61,61,62,53,46,49,43,34
55,60,69,63,42,30,17,32
51,74,70,65,32,48,28,35
63,74,75,56,29,28,21,34
60,80,75,69,41,37,15,37
71,76,77,64,38,33,22,38
63,80,79,60,22,30,20,31
66,85,66,62,37,34,25,24
68,76,76,61,39,38,23,43
57,76,68,64,34,48,23,34
71,83,67,58,32,32,27,41
50,90,65,62,28,34,23,32
44,77,86,62,35,44,21,19
67,87,67,53,47,57,37,43
68,84,63,60,36,51,45,37
56,80,72,62,40,54,34,39
53,78,67,59,32,47,38,33
55,82,69,56,32,44,28,23
61,77,68,62,27,18,22,19
80,80,81,62,54,57,43,49
63,82,65,72,49,67,34,48
54,81,72,70,47,48,29,31
54,85,70,57,50,38,24,40
58,73,60,58,40,34,40,39
51,61,70,51,39,31,22,41
67,86,77,75,56,42,38,46
68,82,72,48,46,35,45,42
62,78,69,58,39,30,38,44
53,87,60,51,51,34,39,44
62,78,76,75,62,49,46,48
69,91,79,67,53,42,36,51
80,77,81,54,44,41,36,55
61,83,71,67,55,34,40,51
67,84,75,63,34,32,41,52
72,77,68,62,52,39,41,56
73,82,80,70,46,54,45,51
52,67,61,54,44,32,29,38
51,83,64,41,40,42,35,43
62,77,81,51,35,25,20,40
65,81,72,52,43,43,38,33
69,83,67,58,50,49,44,59
72,79,64,41,49,36,35,43
22,30,38,70,52,29,29,8
57,78,71,87,69,72,74,47
56,76,74,91,67,83,57,33
60,88,70,93,67,82,68,41
81,85,75,77,60,78,71,52
63,85,85,73,62,81,73,48
70,86,65,62,50,85,69,49
67,86,78,75,58,89,83,62
65,86,81,82,61,91,78,55
50,83,74,78,62,83,72,34
59,82,83,84,60,84,60,37
59,82,79,68,64,99,71,56
70,91,73,77,64,83,63,35
67,75,67,88,58,92,76,74
68,82,73,84,67,83,73,50
61,84,77,90,67,82,77,44
60,86,78,81,76,79,76,48
61,78,73,75,61,96,86,52
69,85,74,88,67,96,83,74
58,75,83,81,68,81,69,42
61,87,78,86,54,80,68,31
32,72,69,81,51,73,50,27
32,62,74,64,34,37,34,27
39,45,61,62,47,52,38,45
38,56,45,62,36,40,33,38
41,54,36,53,32,36,32,29
38,54,50,56,29,33,36,35
38,52,70,63,34,22,34,51
19,46,58,43,25,28,34,30
44,60,66,53,35,36,40,37
32,53,61,47,37,36,45,41
31,46,59,45,35,37,33,29
26,38,42,68,55,19,10,30
42,56,50,66,58,57,47,43
22,33,37,55,57,31,35,24
33,47,52,60,44,31,40,37
38,54,58,78,50,40,44,43
36,37,39,58,44,31,38,37
31,31,59,73,48,39,32,28
34,40,58,72,62,30,38,33
43,56,72,76,49,44,38,32
33,43,54,61,62,32,45,32
39,52,73,75,61,42,46,41
61,47,66,67,58,53,60,48
56,66,58,44,42,35,41,40
55,55,58,49,44,57,57,50
66,71,75,53,39,49,57,56
73,75,84,67,58,61,66,63
51,74,77,60,45,44,56,49
57,64,70,60,49,49,52,47
43,54,62,53,41,41,44,40
58,70,83,56,46,53,57,49
51,75,89,52,43,45,56,48
70,65,85,84,79,71,85,64
71,67,92,93,78,66,79,53
62,71,97,88,63,73,79,71
53,75,83,73,55,61,75,57
50,48,81,74,69,68,79,49
52,72,92,73,59,72,81,58
41,56,71,75,71,77,71,44
39,53,92,75,68,74,76,51
49,62,81,62,61,69,70,52
51,60,89,69,58,71,75,60
44,47,61,59,53,84,73,53
47,57,89,76,55,68,79,57
47,57,77,74,71,72,75,54
38,66,78,66,62,65,79,44
57,58,82,55,60,68,79,52
50,53,86,70,53,73,76,54
49,66,84,85,56,55,56,69
59,65,86,90,53,66,71,53
50,52,80,69,66,77,78,57
41,55,86,81,74,71,67,47
33,64,82,53,54,44,28,12
64,77,89,78,57,81,58,49
66,72,78,69,63,78,64,62
72,73,84,67,60,76,59,56
65,77,91,75,74,76,71,54
42,73,90,78,62,79,52,42
60,77,92,69,56,79,56,50
67,73,93,83,64,65,48,36
60,76,85,75,71,73,53,38
60,73,78,79,70,64,55,54
69,75,87,70,61,75,67,57
34,68,73,57,56,81,45,24
59,62,93,64,37,45,51,49
63,45,78,70,47,44,36,49
71,47,89,66,31,35,25,51
56,44,96,76,43,30,36,39
66,50,91,62,38,40,31,37
43,51,77,49,35,27,43,38
65,64,83,45,35,37,38,48
62,46,83,51,35,42,54,59
56,56,86,49,41,40,31,64
71,70,97,74,36,31,39,52
60,95,94,83,43,28,51,55
47,75,89,67,46,25,44,36
65,88,90,78,42,38,49,38
62,86,88,74,39,45,53,43
64,88,88,77,39,32,48,35
45,73,85,72,37,24,44,29
55,72,82,85,42,31,42,29
59,79,95,92,48,36,44,39
42,77,94,79,45,26,49,28
52,87,81,67,34,25,56,30
31,73,84,83,43,26,43,17
