electrode_1_zero_crossing,electrode_2_zero_crossing,electrode_3_zero_crossing,electrode_4_zero_crossing,electrode_5_zero_crossing,electrode_6_zero_crossing,electrode_7_zero_crossing,electrode_8_zero_crossing
31,53,53,80,53,27,22,22
48,61,60,71,66,65,55,37
25,21,40,65,49,55,50,31
35,42,37,68,57,65,59,33
30,35,52,73,54,63,50,42
40,55,38,73,65,61,50,32
40,50,47,68,56,52,45,39
29,45,56,93,50,67,54,25
30,40,33,74,62,62,60,32
34,20,41,70,58,62,58,38
35,47,63,68,51,62,36,17
18,36,62,48,44,15,1,24
41,51,61,59,58,37,32,45
29,64,65,55,45,44,56,51
36,58,61,65,45,44,52,57
28,61,76,65,57,35,53,54
35,86,72,68,40,35,40,77
49,95,83,63,57,43,54,57
54,88,79,50,51,53,45,59
46,85,79,60,49,61,56,45
35,91,78,63,33,51,41,72
44,90,86,69,48,60,46,59
51,83,82,58,47,66,51,50
48,84,75,63,46,81,50,66
54,90,75,52,46,62,60,58
55,80,85,68,49,58,62,82
41,84,78,69,44,61,45,65
45,92,81,60,37,55,42,52
45,82,70,64,50,50,46,58
40,81,78,60,48,48,47,74
38,90,69,57,43,65,55,69
46,86,81,65,43,61,54,86
39,83,79,66,51,57,55,71
54,74,76,60,59,76,65,67
56,71,76,61,53,82,60,65
59,74,88,57,55,81,70,66
56,72,83,60,57,78,74,70
64,73,77,53,44,67,66,63
68,75,85,58,59,80,68,62
66,71,90,66,48,60,68,70
53,75,83,47,49,65,66,50
76,69,84,64,57,69,62,73
78,75,97,73,68,67,77,59
60,50,87,82,46,62,65,58
67,46,84,76,48,68,72,52
64,46,76,50,44,65,72,44
58,39,70,53,47,64,64,58
50,58,89,63,37,50,47,43
60,39,91,79,56,59,63,53
81,59,89,71,50,72,73,62
59,53,78,56,56,59,60,46
64,60,92,80,66,66,68,62
58,72,81,75,37,51,68,44
52,70,81,72,54,71,74,41
37,76,69,69,48,59,67,42
57,72,69,65,62,79,75,57
49,66,78,75,53,83,71,48
46,68,78,69,48,70,81,44
60,68,76,70,57,81,81,45
37,58,80,66,64,84,79,55
