electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
9,12,71,13,15,30,6,3
4,92,94,44,0,0,0,0
59,114,121,56,27,10,13,25
70,109,121,60,17,7,2,17
81,111,126,63,20,8,17,23
60,112,132,55,20,7,12,17
87,120,112,64,33,27,25,34
89,111,116,80,41,23,12,32
97,120,122,79,43,25,19,35
85,117,117,64,29,16,19,38
86,111,118,68,18,10,8,14
106,127,124,90,26,18,28,49
98,122,118,86,29,12,10,44
87,119,108,85,36,17,24,33
112,126,113,73,39,17,19,58
108,123,115,78,24,9,7,24
88,124,106,76,26,17,17,44
103,122,113,91,21,12,16,46
112,119,101,81,37,25,19,53
100,126,120,84,54,38,25,38
107,133,121,90,50,52,24,39
100,121,109,94,35,34,17,42
93,97,116,77,29,20,30,47
102,123,114,69,24,15,12,50
105,124,110,67,25,28,20,38
103,132,107,88,41,22,23,47
112,124,122,78,30,27,34,54
111,120,118,45,44,30,25,57
109,126,126,83,41,22,22,48
100,122,122,78,25,20,14,44
93,115,128,62,25,14,24,31
90,110,105,69,25,8,6,21
115,132,118,89,27,15,11,47
99,105,115,77,27,20,24,41
85,99,104,84,24,16,29,52
103,118,100,62,24,17,23,44
102,118,105,75,40,26,31,45
110,122,107,70,30,34,33,59
88,111,99,83,36,22,29,60
102,120,97,61,41,33,26,53
102,110,107,58,37,29,27,52
108,122,101,61,39,44,34,58
95,114,90,70,28,40,44,47
79,106,82,55,35,39,36,45
100,121,100,53,32,31,24,51
92,119,100,57,37,31,44,59
79,86,101,58,30,30,35,40
97,105,101,44,20,29,32,41
89,118,116,58,32,45,21,39
90,131,115,69,31,23,25,40
99,124,126,72,25,21,22,50
75,101,129,67,39,42,40,43
107,120,112,78,38,30,38,59
114,122,109,76,35,42,36,51
104,120,104,84,46,29,49,72
117,128,107,59,33,35,44,61
0,0,0,2,1,21,0,0
6,25,45,15,15,37,6,3
2,24,51,8,10,27,4,0
0,44,94,11,4,37,2,0
1,30,68,16,8,23,2,0
1,30,96,22,16,40,3,0
0,19,74,14,14,34,1,0
5,12,70,4,16,37,6,0
7,53,89,8,14,39,3,3
5,30,79,13,21,34,6,3
4,42,70,18,21,37,7,2
4,39,90,10,16,35,4,3
3,36,82,12,14,30,2,3
3,32,19,7,17,30,5,0
1,44,75,9,17,46,3,1
1,43,82,12,7,21,1,2
1,22,68,8,4,31,3,2
4,33,90,14,9,34,3,1
7,44,88,15,16,41,5,3
0,26,70,15,9,32,1,0
5,37,70,19,15,33,2,0
0,0,20,0,0,12,0,0
38,54,74,44,31,54,30,26
0,0,0,3,0,33,0,0
34,52,58,52,34,62,25,26
0,0,1,2,1,56,4,1
29,47,55,39,15,66,23,23
34,52,59,36,29,70,30,23
0,1,1,0,0,35,0,0
49,65,63,42,29,79,36,30
48,63,77,65,32,66,32,29
35,64,47,46,21,58,23,16
4,7,2,1,0,26,0,0
45,64,44,44,18,44,26,25
46,68,62,50,34,70,34,29
43,56,71,43,33,64,35,27
40,44,45,43,26,80,30,24
52,87,79,53,38,83,37,29
0,0,0,1,0,53,0,0
31,47,43,49,30,64,23,19
30,54,79,36,24,58,27,19
18,63,72,37,28,53,14,7
29,56,52,55,28,57,27,36
37,45,60,37,28,67,23,26
30,62,77,31,23,69,16,12
