electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
25,93,67,28,7,54,111,30
17,77,64,20,4,53,86,24
13,66,48,22,4,56,103,30
29,92,71,24,2,52,113,29
30,86,68,13,6,61,120,31
23,97,52,15,1,68,121,24
28,84,66,8,4,64,129,34
21,84,66,14,6,68,126,44
15,74,61,17,4,48,115,30
23,72,64,16,3,53,121,33
13,72,62,18,2,67,121,32
29,78,62,21,9,57,109,36
15,68,52,12,3,63,113,24
19,76,50,12,5,64,118,28
25,89,39,12,6,65,97,40
31,95,60,16,2,63,123,41
21,88,47,11,3,52,119,29
18,91,57,17,6,57,127,25
28,103,45,15,2,59,116,44
19,97,75,13,5,56,114,25
24,88,58,9,4,57,108,43
31,80,37,15,15,66,57,25
31,75,17,7,17,57,63,24
19,21,9,2,9,66,59,29
15,25,5,4,15,64,55,21
12,15,12,2,7,73,59,15
16,39,10,8,9,61,63,15
11,27,6,1,8,62,59,23
14,45,10,2,11,63,62,24
19,67,10,7,8,70,58,13
14,12,9,10,13,57,50,15
15,16,7,6,14,64,59,25
13,12,11,9,12,51,45,18
11,28,9,8,13,53,44,16
23,22,12,11,19,58,59,33
15,13,8,5,13,63,52,23
19,24,9,8,21,55,52,21
14,16,10,3,8,58,52,17
15,14,11,8,10,56,57,21
32,54,22,9,11,52,49,17
30,45,12,6,11,59,63,25
18,46,6,4,13,56,58,22
19,20,11,11,12,54,47,19
14,24,6,9,16,60,56,27
39,76,17,3,15,58,52,25
30,50,12,2,10,67,66,20
24,49,15,4,15,60,54,28
21,50,10,2,12,63,52,20
29,60,16,7,11,46,39,25
23,47,13,7,10,53,44,18
31,57,5,4,9,45,32,26
22,47,30,6,9,48,53,16
24,59,8,8,17,50,60,21
21,56,10,6,9,60,37,21
13,8,7,5,13,60,49,16
19,12,6,2,7,66,56,24
16,24,5,4,20,71,57,16
21,14,6,4,13,75,62,21
7,3,3,3,12,73,52,15
5,2,4,1,9,72,58,13
6,1,3,0,7,56,51,10
7,2,4,6,18,75,55,11
2,1,1,0,4,77,49,5
4,1,1,2,4,82,68,13
8,2,1,0,2,78,57,10
6,1,1,0,6,65,66,4
2,0,1,0,3,89,60,7
2,3,2,2,10,47,48,5
3,1,0,0,6,58,51,9
5,2,0,0,4,78,47,9
3,1,3,0,4,75,52,11
14,16,4,0,4,74,55,7
5,0,1,0,5,89,66,8
1,3,4,5,5,110,90,12
3,1,1,0,4,82,70,9
5,3,3,0,6,79,61,13
4,2,2,3,6,77,71,5
1,3,2,1,1,79,72,9
4,2,1,0,2,77,56,12
4,0,1,2,9,84,55,6
3,4,4,4,13,77,61,11
8,2,3,0,6,71,60,14
2,3,2,1,5,60,49,6
8,7,5,5,15,68,66,14
5,2,3,1,10,77,81,11
