electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
2,2,32,1,2,18,26,12
1,3,21,0,0,11,30,16
2,7,23,2,7,36,38,15
2,10,39,10,5,30,34,13
1,0,15,3,2,34,38,6
1,12,17,11,6,30,31,17
1,2,13,3,0,19,39,10
0,0,18,3,1,32,30,11
0,0,4,3,1,30,42,11
0,4,18,4,2,26,27,6
5,12,32,8,2,31,34,6
4,2,32,3,3,29,41,14
1,7,17,1,0,26,46,19
4,14,27,6,6,29,45,26
0,8,33,0,0,35,34,18
95,69,125,23,10,47,53,32
89,86,117,43,17,41,76,37
97,92,127,44,9,64,65,33
81,87,133,54,19,56,69,28
46,68,131,31,5,69,79,25
86,84,132,47,10,57,92,39
64,83,129,49,6,62,77,23
35,69,132,49,8,54,93,32
60,78,124,58,4,66,88,27
64,77,132,43,6,51,98,26
57,77,133,40,7,69,92,16
61,66,116,24,2,50,81,18
93,79,129,42,5,68,94,27
52,67,135,49,9,83,111,19
53,48,110,36,6,21,90,28
97,53,123,45,2,67,108,29
101,75,124,38,5,65,96,48
91,84,130,55,3,74,76,36
94,67,115,49,9,68,95,45
84,79,126,49,11,67,69,21
52,93,18,2,0,0,0,5
88,121,44,6,6,24,36,56
77,124,42,2,6,23,28,38
61,113,42,2,1,28,46,27
81,123,52,4,1,36,51,49
64,107,32,3,0,40,53,38
89,118,45,8,3,59,78,36
83,123,66,13,12,78,59,82
58,117,25,1,0,32,28,46
58,122,37,1,0,18,45,42
86,117,28,13,1,57,41,41
82,116,31,3,1,38,55,60
73,105,24,1,0,21,30,16
90,107,27,1,2,76,56,43
107,128,51,7,4,52,33,69
83,117,25,0,0,41,49,30
68,122,38,4,1,33,41,48
81,127,52,6,2,41,53,62
102,126,69,5,1,34,40,61
83,112,31,6,4,42,36,59
119,129,75,7,4,74,75,80
122,129,57,8,4,78,74,90
60,118,52,5,0,0,17,51
50,105,43,3,0,0,15,20
69,111,58,14,3,4,29,17
59,123,48,6,0,0,29,13
59,122,45,4,0,0,19,26
61,109,46,8,0,0,19,33
56,115,35,5,0,0,15,9
73,118,47,7,0,18,17,36
72,119,57,10,1,27,14,45
51,123,59,19,0,1,34,13
52,115,52,15,1,1,34,10
43,106,50,7,0,3,45,10
54,114,46,11,3,2,25,15
45,109,56,10,1,0,14,3
46,101,51,17,0,0,11,4
51,105,46,9,0,0,17,5
55,110,48,3,0,1,17,4
49,114,38,19,3,3,9,5
113,133,81,20,6,40,87,131
98,128,93,18,5,69,99,126
84,118,88,41,19,87,83,107
111,129,94,40,16,49,86,112
109,124,90,35,22,80,79,118
103,128,102,28,7,53,42,115
76,133,92,29,9,48,68,117
97,132,95,52,25,43,80,116
95,117,81,33,15,51,60,106
78,118,77,14,4,54,40,115
90,130,96,37,9,57,75,112
101,127,114,44,19,62,70,122
80,134,94,29,3,21,26,116
104,123,90,40,14,72,60,118
34,113,62,4,0,7,2,51
108,132,112,51,25,83,77,127
115,135,113,60,23,78,80,122
103,131,106,47,18,61,74,120
88,128,87,17,6,41,57,123
102,134,102,30,14,64,90,118
23,103,44,2,2,3,3,21
97,127,103,32,8,62,66,122
33,65,30,101,40,42,25,33
20,100,60,99,43,59,23,3
26,119,66,111,50,32,25,4
8,57,43,108,55,42,37,5
14,73,43,107,49,11,29,10
26,108,63,112,48,10,36,22
43,81,51,102,52,8,57,35
45,78,41,106,43,12,49,31
60,100,69,97,46,37,65,42
35,85,63,101,56,37,40,16
39,91,50,98,44,1,11,25
37,70,38,110,52,10,52,15
20,68,23,97,46,4,44,15
26,105,53,95,51,43,46,6
33,92,47,102,49,25,44,14
78,85,41,83,37,9,72,24
65,109,59,94,24,5,13,3
72,81,37,94,36,8,48,15
74,95,44,102,35,2,0,2
88,99,55,106,48,16,16,41
77,77,42,95,38,13,32,24
39,103,51,93,41,1,11,7
53,59,18,105,50,0,0,0
9,43,67,30,6,2,0,8
13,24,40,15,6,0,17,34
21,55,90,48,3,1,28,29
23,39,109,42,4,0,3,20
38,53,102,48,8,3,10,59
28,49,87,44,12,6,15,38
35,51,92,48,6,2,14,44
42,66,113,45,5,0,8,50
30,64,124,61,5,0,1,39
41,84,119,63,14,4,4,51
63,81,115,59,16,6,18,57
58,60,96,58,10,6,27,59
0,12,10,63,42,0,0,0
26,15,46,72,54,2,26,53
33,17,37,56,65,3,19,50
15,9,30,58,51,1,12,57
14,12,30,63,50,0,17,54
29,12,20,42,61,1,29,68
17,10,36,48,34,1,27,54
28,21,45,55,58,2,18,61
16,4,25,49,58,1,16,50
19,13,30,42,54,0,18,46
15,12,30,53,48,1,16,51
34,58,34,67,23,30,76,41
53,50,35,75,15,33,81,45
63,60,33,71,21,31,74,39
69,63,33,74,16,35,77,45
58,40,37,82,14,37,97,56
63,77,58,69,16,29,70,44
59,102,54,63,18,39,73,47
60,66,46,84,16,35,74,48
75,97,63,80,16,30,63,33
70,86,48,69,15,30,81,47
25,33,99,74,36,28,54,46
25,33,104,66,40,39,58,53
24,39,89,43,20,19,65,49
16,12,81,40,12,23,59,61
15,26,102,70,28,26,61,50
16,18,99,56,31,27,72,57
5,19,118,45,22,13,74,48
15,33,90,31,30,45,61,47
17,27,100,25,27,32,72,63
9,20,107,18,23,13,58,47
13,28,109,32,23,19,56,41
9,50,117,77,42,28,47,29
16,38,122,97,29,21,78,54
5,12,110,78,26,26,72,50
12,34,103,84,27,19,72,47
19,28,113,70,38,29,82,52
13,34,116,78,19,16,39,40
19,34,110,91,33,26,64,68
11,19,108,79,34,56,71,39
15,43,123,83,39,41,81,60
65,94,114,46,36,50,43,34
57,93,101,43,37,44,37,50
72,103,119,54,41,55,49,48
17,105,105,38,28,27,3,3
78,108,112,58,46,66,64,53
23,97,114,33,26,27,16,10
80,101,124,70,39,60,65,57
83,104,108,80,38,55,65,58
81,109,137,81,50,60,76,55
73,98,119,50,35,64,47,44
51,91,114,55,35,51,44,38
59,89,115,58,34,47,41,34
38,30,93,12,2,0,1,0
80,48,124,71,29,35,59,43
82,29,127,75,32,22,59,54
53,44,110,59,15,17,45,34
56,42,119,52,18,14,37,33
61,62,121,48,14,16,50,31
55,58,108,39,10,13,36,34
47,42,106,32,7,6,41,32
52,66,106,51,12,14,33,24
46,56,118,44,6,12,27,27
63,58,123,65,16,18,38,46
62,111,123,81,32,45,62,34
70,98,121,61,16,22,56,40
68,102,124,63,15,29,54,44
92,87,120,65,19,27,64,41
74,108,126,59,21,22,77,58
99,113,127,77,26,38,52,78
109,103,125,70,45,53,62,76
91,102,132,68,36,44,70,56
99,117,120,74,18,31,58,45
101,113,127,69,23,19,76,65
