electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
2,0,2,1,5,19,6,3
11,3,3,4,9,21,11,8
5,9,4,2,6,23,7,6
30,30,38,10,4,12,14,7
29,40,31,11,7,16,11,9
41,47,43,13,0,8,8,5
37,41,20,11,0,10,5,4
32,25,41,11,7,18,15,9
32,25,23,7,3,13,14,7
46,36,33,8,2,4,4,5
37,43,50,4,2,12,9,6
52,51,22,5,1,10,13,7
43,45,16,6,0,12,13,1
48,64,29,6,3,18,17,11
64,45,38,5,3,17,8,4
60,52,40,3,4,22,35,15
61,64,31,6,2,8,12,2
46,31,32,4,0,18,12,8
48,44,34,3,1,14,13,7
39,36,27,7,2,9,9,4
60,36,41,6,1,19,15,14
59,59,84,23,2,12,11,5
51,50,53,10,3,17,14,11
60,45,52,11,0,14,12,4
42,43,66,14,1,10,9,6
58,49,66,19,4,12,9,4
49,42,53,15,1,11,11,4
50,43,66,20,1,5,5,0
67,49,56,20,4,17,14,7
54,46,55,7,2,12,9,3
56,44,66,17,0,4,10,3
63,45,60,9,1,13,11,8
64,41,57,8,0,2,6,5
49,54,59,16,0,13,5,4
57,41,60,9,1,8,4,3
37,35,57,5,0,9,11,5
52,37,52,5,0,10,4,2
70,40,58,15,1,14,10,2
58,42,57,11,3,8,6,1
44,37,43,6,3,10,9,5
47,34,41,8,2,6,8,1
55,48,54,8,0,4,4,1
51,48,61,7,1,9,10,6
48,34,53,5,0,8,7,1
63,47,45,1,1,7,8,5
57,53,53,6,3,19,11,7
53,48,59,13,1,7,7,5
54,44,45,9,3,9,9,7
43,36,50,13,1,9,4,1
69,38,46,6,1,7,10,7
47,39,52,9,4,16,16,7
59,49,48,3,3,9,13,5
44,32,55,3,1,7,4,2
39,32,40,7,2,9,6,6
49,31,65,5,1,15,9,5
40,52,63,12,3,15,13,9
40,40,50,7,5,13,11,1
41,36,50,15,1,6,4,4
42,38,45,10,1,15,12,7
61,46,50,3,1,10,11,4
53,35,50,4,1,17,9,11
50,43,44,4,4,13,14,4
44,37,41,1,1,18,13,5
45,36,43,11,0,14,9,4
36,48,44,9,2,20,15,5
46,57,46,13,0,12,9,4
39,43,58,9,0,14,9,3
57,48,33,5,0,10,12,2
33,39,53,5,1,13,11,4
51,44,44,10,4,18,12,4
60,48,40,7,2,7,8,1
32,29,55,5,0,9,6,2
49,57,38,9,5,19,15,7
57,45,37,5,3,8,11,5
36,43,37,6,2,12,6,2
62,59,66,19,2,12,6,9
57,46,66,15,4,18,17,9
47,45,78,17,2,9,6,4
59,51,92,38,4,10,6,2
46,44,79,27,4,16,16,13
53,47,71,12,1,14,17,7
52,36,75,22,3,12,5,4
50,44,74,24,6,9,14,9
49,49,74,18,0,4,3,1
53,51,75,13,5,19,14,7
39,42,88,16,0,18,14,6
38,38,63,23,7,19,12,5
32,31,61,21,4,9,12,9
36,34,68,19,4,13,12,9
28,36,74,27,5,20,17,14
32,31,81,21,3,9,3,11
34,39,51,14,5,18,10,8
32,34,63,7,3,12,7,7
42,68,33,11,12,31,42,23
53,68,32,7,11,36,46,24
55,52,28,5,6,29,42,21
57,57,22,8,11,33,35,22
48,57,35,6,7,32,35,14
73,68,43,24,11,31,27,23
46,45,29,5,1,23,32,14
81,72,52,12,10,31,30,29
66,62,37,16,10,25,34,21
75,80,55,29,11,36,47,27
88,80,45,15,13,29,36,39
62,80,42,12,5,23,28,18
63,86,56,16,9,31,41,25
71,75,59,19,9,22,41,18
68,81,61,28,14,30,36,13
75,64,51,24,18,30,30,21
67,76,33,10,9,29,44,22
62,57,41,3,6,22,23,11
72,78,40,15,6,27,37,28
54,71,48,25,9,27,27,21
60,84,56,17,7,22,23,18
60,73,54,19,17,30,34,19
70,88,42,14,12,25,32,15
61,69,49,16,5,29,34,18
73,90,50,22,11,29,27,22
74,103,42,20,3,25,24,18
72,88,40,19,6,24,29,20
42,79,60,25,7,29,30,22
76,102,61,18,6,25,32,16
74,87,54,32,9,27,34,20
80,93,65,15,7,23,28,21
68,80,55,26,5,22,24,19
74,85,64,26,7,21,25,13
65,81,67,12,3,25,30,21
66,82,65,23,6,24,29,23
75,81,78,28,11,31,38,24
82,92,76,20,9,16,31,16
71,94,54,13,11,31,36,16
67,80,51,18,5,21,26,12
81,96,58,19,8,24,21,8
76,82,42,4,1,12,13,11
77,82,62,14,9,29,36,22
73,86,57,21,1,17,21,10
84,95,59,30,10,25,37,16
67,87,70,29,8,33,38,28
61,88,52,19,7,25,24,11
86,93,64,15,8,29,31,20
78,86,56,24,5,18,24,12
68,89,66,18,8,36,39,29
80,86,41,25,8,29,32,20
73,91,46,23,8,28,34,24
77,66,34,7,0,16,26,16
57,77,32,9,6,22,21,10
78,77,42,11,3,24,22,10
63,67,25,7,4,12,12,9
63,74,40,17,4,21,20,7
64,59,22,4,2,24,30,15
49,70,37,9,6,23,29,14
60,68,31,6,2,21,12,10
50,58,36,4,3,15,17,4
41,47,27,2,2,17,19,8
31,34,26,2,1,26,23,16
46,39,37,11,4,25,40,17
63,52,65,20,10,20,27,21
68,67,57,17,2,28,30,20
67,80,49,15,7,25,27,18
63,74,47,32,9,29,29,14
66,73,51,10,7,26,35,14
56,59,49,27,5,23,21,15
56,69,41,18,8,26,27,13
48,90,61,16,5,21,31,11
73,65,40,14,5,20,29,13
69,73,68,24,7,20,21,15
66,61,48,27,9,32,37,23
75,78,69,27,7,39,38,24
82,75,59,18,3,28,32,19
77,71,68,29,7,27,31,18
62,77,74,24,8,21,23,12
63,88,61,31,10,34,34,16
53,80,63,24,6,24,23,11
61,64,66,24,9,18,22,17
22,76,105,30,20,35,19,26
33,89,123,28,15,19,19,8
32,76,125,34,27,33,21,12
36,93,123,42,23,27,21,18
64,101,123,51,25,29,21,21
77,90,137,66,35,45,22,18
68,106,133,70,29,36,21,28
52,105,128,72,27,33,27,31
56,110,123,64,33,44,16,27
59,117,128,60,43,49,35,34
59,119,128,76,44,52,27,39
53,107,127,53,31,43,27,39
57,114,120,57,29,41,25,33
54,104,119,63,41,46,25,40
56,105,124,65,34,42,29,30
43,96,121,54,24,45,31,42
37,105,119,70,35,38,24,30
51,104,127,58,33,37,27,32
45,100,112,56,29,43,23,28
54,98,126,52,39,38,26,26
41,94,124,76,34,43,38,34
65,109,123,52,34,47,40,41
51,115,127,68,32,41,37,48
55,101,126,59,39,52,42,51
52,116,135,61,43,55,28,39
51,108,118,77,42,49,27,45
42,98,132,56,27,42,28,47
64,103,117,70,26,42,30,41
39,94,126,69,35,46,39,39
38,107,124,63,37,45,33,38
59,112,125,67,33,43,33,44
61,110,132,64,32,37,43,50
52,100,117,62,32,50,31,58
58,125,128,79,30,42,40,54
52,100,126,68,32,40,38,40
55,118,124,70,33,51,39,48
45,104,120,69,29,36,34,44
49,118,125,68,34,42,37,44
64,126,122,70,36,45,37,30
72,102,121,87,40,44,33,40
57,119,123,65,38,38,39,42
53,123,131,84,36,45,36,45
61,115,130,88,42,40,37,44
58,107,129,89,41,45,31,39
70,120,123,89,47,48,34,32
57,112,121,99,37,55,31,32
73,115,127,90,39,51,40,32
60,112,129,62,31,40,37,47
59,104,128,84,29,39,33,45
47,113,121,74,36,44,49,47
50,105,121,64,32,37,31,36
42,117,127,71,23,29,32,37
46,105,125,80,37,41,33,32
64,106,133,67,24,39,26,49
54,116,129,75,31,42,28,31
73,107,123,80,42,43,39,42
55,108,121,72,32,38,31,26
55,113,121,88,41,39,28,39
60,105,122,93,35,49,29,32
46,110,124,74,31,39,32,19
45,112,114,77,33,48,28,42
55,109,121,66,44,44,31,47
0,3,0,3,1,0,0,0
14,48,47,20,10,20,23,10
11,22,6,5,1,21,11,9
12,6,12,18,5,17,17,14
9,15,19,9,9,27,25,11
10,32,15,20,8,12,18,8
7,24,12,10,1,13,12,1
5,3,12,16,5,14,17,6
10,18,16,14,3,17,21,14
3,9,15,20,12,17,14,3
2,16,10,14,2,11,11,2
4,17,12,13,3,10,12,6
5,26,15,20,3,20,19,8
10,4,11,20,4,18,13,2
5,35,26,17,3,13,23,2
6,33,24,24,5,15,16,5
5,32,25,4,7,13,15,6
5,33,12,12,4,13,12,21
8,19,11,5,2,9,12,8
3,22,26,9,7,8,10,4
14,15,34,46,15,17,25,8
12,48,78,30,10,45,38,34
36,72,107,80,34,67,67,36
0,8,20,8,1,0,0,0
31,55,87,44,29,59,51,44
20,56,99,42,12,59,45,27
0,15,65,14,1,0,0,0
13,40,99,43,16,44,27,27
11,40,105,59,18,45,30,22
8,49,104,45,11,40,33,12
22,40,94,70,24,45,41,21
16,50,87,44,18,35,30,18
24,55,110,46,21,56,47,36
10,46,116,45,14,46,43,15
24,40,88,52,22,59,51,43
26,53,106,92,32,50,45,53
12,67,119,48,12,55,31,30
6,51,115,50,17,73,35,19
14,47,110,58,20,46,35,23
7,40,103,42,16,51,27,5
10,46,111,50,15,46,38,15
10,51,102,31,8,45,26,25
24,45,108,52,13,61,40,36
31,16,8,10,5,12,10,2
35,53,26,6,5,9,2,5
38,26,23,13,3,14,12,4
54,44,28,15,4,14,6,2
47,40,16,9,1,12,4,2
45,64,13,0,2,47,3,1
39,34,10,7,1,4,5,4
44,15,18,8,1,6,2,1
39,12,19,16,2,12,14,2
24,49,22,7,2,9,1,1
46,37,6,11,8,16,11,7
38,63,20,1,1,0,0,3
46,43,11,12,3,7,8,8
35,76,21,10,6,18,9,2
45,34,36,11,12,14,14,10
51,55,21,7,15,16,11,7
60,62,15,20,15,10,14,4
41,65,25,9,10,10,2,2
64,50,33,11,14,31,14,12
25,59,68,68,30,40,30,7
42,48,74,54,21,25,24,11
71,55,107,66,29,18,10,14
93,41,82,53,23,15,6,27
49,38,67,37,12,13,4,2
47,39,94,42,18,34,12,5
41,28,77,51,17,34,7,6
98,64,100,62,24,39,11,18
57,37,73,38,12,18,3,13
82,41,94,52,17,45,14,10
106,50,67,39,25,46,17,23
103,97,61,46,17,19,12,18
75,54,68,52,10,10,1,5
101,49,81,53,22,43,9,26
79,64,87,61,15,40,17,8
108,69,100,59,31,71,24,27
114,54,100,55,29,23,12,32
84,53,97,52,21,27,11,15
86,23,73,38,4,52,3,5
87,65,100,70,22,34,47,26
96,48,83,44,19,20,6,12
102,42,86,54,17,10,3,16
101,60,81,51,19,15,5,21
104,50,89,61,20,27,7,20
18,21,32,26,30,39,22,14
11,11,33,23,22,28,12,12
7,12,46,18,15,32,9,9
5,12,42,26,26,35,16,4
20,22,38,36,40,44,15,24
9,10,38,22,13,43,8,9
8,16,45,17,16,27,7,9
10,7,33,17,22,39,17,9
9,13,58,26,26,24,20,4
41,22,56,21,18,28,15,13
16,13,46,22,34,47,22,6
5,1,19,11,14,30,14,10
5,2,50,31,25,50,29,13
8,17,36,15,24,30,9,5
4,3,34,13,14,24,9,7
13,13,34,24,24,25,7,14
16,18,36,26,19,24,16,14
4,13,46,26,15,27,11,7
0,5,40,7,12,16,1,2
5,10,54,25,24,43,29,6
3,26,43,99,51,14,10,3
4,10,41,97,55,24,9,8
47,25,45,90,58,13,6,6
34,14,32,95,45,10,7,9
1,17,37,93,48,56,16,0
3,18,37,90,51,27,12,1
2,49,37,104,46,2,3,0
1,2,36,97,57,7,3,2
0,8,29,98,50,54,16,0
7,7,25,90,54,3,1,0
18,15,62,97,61,91,22,7
26,18,29,109,47,7,1,4
15,15,45,113,64,5,1,4
18,11,40,116,61,9,1,0
19,14,24,104,67,5,0,0
37,14,25,111,63,3,0,0
28,11,28,113,61,5,3,0
32,19,57,117,66,18,3,0
0,47,76,15,0,0,0,0
7,14,78,46,1,1,1,8
11,14,79,56,2,0,0,10
9,57,74,61,2,0,0,17
12,51,88,45,2,0,0,8
2,47,97,64,3,1,3,8
15,16,102,79,5,0,0,15
1,10,83,42,1,0,1,5
6,32,35,85,36,4,2,4
1,16,30,52,23,0,0,0
4,54,30,78,21,0,1,2
0,38,22,95,28,0,0,0
2,31,45,80,14,0,2,5
2,31,48,93,22,1,1,3
2,30,40,94,19,1,3,4
27,58,11,76,32,8,39,19
33,70,22,67,33,29,58,21
28,50,14,75,32,26,65,29
26,59,14,65,32,33,95,24
29,72,16,78,40,12,48,9
33,92,17,71,26,7,41,6
34,92,21,78,36,15,46,4
27,85,14,82,27,7,49,8
24,77,19,72,29,11,44,17
27,82,21,86,29,7,44,16
0,9,88,19,3,0,0,0
15,60,98,48,7,10,12,32
6,54,93,54,11,3,11,23
6,41,78,47,8,3,11,17
