electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
4,77,33,2,14,50,27,3
2,46,28,5,16,53,28,2
3,58,34,3,14,34,19,8
4,53,28,17,10,48,27,4
5,62,72,22,15,39,21,4
15,80,47,10,18,41,23,5
16,72,55,14,14,33,25,8
12,65,40,9,18,49,23,14
5,65,37,6,13,34,21,5
2,59,34,3,8,33,28,4
1,60,57,4,6,36,17,3
1,51,32,6,13,30,29,1
1,57,23,9,12,44,25,0
5,41,23,5,5,29,22,0
3,54,33,7,20,35,27,2
1,41,21,4,8,50,31,0
4,62,26,3,6,22,19,3
9,66,30,8,12,40,21,5
3,51,29,10,7,32,20,2
4,71,28,9,8,43,21,1
3,70,29,7,13,47,25,2
5,43,22,3,9,26,20,5
2,47,30,8,9,36,23,4
3,61,26,4,9,38,20,3
4,70,27,8,5,29,10,1
0,51,35,9,9,40,16,4
0,49,31,6,11,42,18,3
10,69,39,3,8,40,25,5
5,74,33,0,10,40,28,1
4,62,25,5,5,47,28,1
1,50,21,0,7,37,18,4
3,42,24,5,14,44,21,3
2,49,32,1,7,40,24,4
2,56,36,3,8,47,16,4
3,52,26,6,10,41,26,5
2,64,34,14,9,37,18,1
8,65,28,7,17,43,23,4
8,56,29,1,12,36,12,5
2,59,40,0,9,44,22,3
12,73,36,7,16,45,21,3
6,65,33,0,12,37,32,6
7,64,14,1,9,44,29,2
3,54,21,1,12,53,25,3
0,37,24,1,14,51,20,3
6,58,36,0,13,47,24,3
9,71,27,0,6,43,19,2
8,53,33,1,19,48,30,6
4,59,18,0,14,57,37,4
2,52,16,3,18,57,38,5
5,51,52,7,23,55,41,13
5,42,39,5,25,53,34,5
7,43,37,10,20,43,36,8
8,54,42,5,24,47,33,6
7,56,32,5,20,52,40,3
6,60,39,13,21,44,31,11
10,59,28,6,26,50,43,7
7,48,35,4,24,47,41,12
5,49,36,6,24,66,43,8
11,56,32,8,31,56,44,12
11,56,35,4,24,58,49,7
9,47,49,19,26,47,30,10
5,30,35,6,15,46,37,8
